Country,Province,City,Pop.,ABBR,Rent,Total COL,Sal,QOL,Prov. ABBR,Lat,Long,Snow Days/Y,Snow Fall/Y,Total Temps Ave,Summer Temps Ave,Spring Temps Ave,Winter Temps Ave,Fall Temps Ave,Highest 3 Year,Lowest 3 Year,Most Days,Sunny Days/Y,Hours Rained/Y,Winter Daylight
Austria,Styria,Graz,"305,323",AT,788,1685,2905,87,,47.0708678,15.4382786,21.666666666666668,24.476666666666663,10.817153284671534,20.69855072463768,10.398550724637682,1.3597785977859778,10.63846153846154,18.4,-6.5,Overcast,9.666666666666666,1268.6666666666667,9.262364052890527
Austria,Tyrol,Innsbruck,"132,471",AT,1084,1917,2998,84,,47.2654296,11.3927685,86.33333333333333,218.98333333333332,11.11514598540146,19.91304347826087,10.256521739130434,2.562730627306273,11.578388278388278,18.0,-8.7,Overcast,6.333333333333333,2198.6666666666665,9.240275338253381
Austria,Carinthia,Klagenfurt,"105,280",AT,857,1683,2216,80,,46.623943,14.3075976,29.666666666666668,53.43333333333334,10.661222627737226,20.68804347826087,10.1,0.8726937269372693,10.808424908424907,15.7,-4.9,Overcast,2.3333333333333335,1413.6666666666667,9.30594130791308
Austria,Upper Austria,Linz,"213,574",AT,852,1760,2672,83,,48.3059078,14.286198,37.0,41.58,11.492518248175182,20.709782608695654,10.842391304347826,2.6841328413284136,11.575091575091575,15.5,-3.5,Overcast,15.666666666666666,1606.3333333333333,9.126677777777779
Austria,Salzburg,Salzburg,"157,652",AT,1057,1904,3419,85,,47.7981346,13.0464806,50.666666666666664,109.92333333333333,10.780200729927008,19.549637681159425,10.005797101449277,2.391512915129151,11.024542124542126,16.8,-7.2,Overcast,11.666666666666666,2154.3333333333335,9.187930822058217
Austria,Vienna,Vienna,"2,028,399",AT,1089,2132,3535,95,,48.2083537,16.3725042,22.666666666666668,21.95666666666666,12.276094890510949,22.157246376811592,11.539855072463768,3.098523985239852,12.14102564102564,16.4,-3.7,Overcast,14.0,1206.3333333333333,9.1421381201312
Belarus,Mogilev,Babruysk,"208,611",BY,131,406,473,42,,53.1449683,29.2281209,66.0,112.72333333333334,8.943339416058395,19.41485507246377,8.791666666666664,-1.6612546125461254,9.036996336996337,11.2,-7.6,Overcast,11.333333333333334,1508.0,8.52896323288233
Belarus,Brest,Baranavichy,"172,150",BY,184,517,521,41,,53.1322925,26.0184156,63.333333333333336,86.12333333333333,8.886587591240877,18.705434782608695,8.669927536231885,-0.922509225092251,8.916117216117216,13.5,-10.5,Overcast,7.333333333333333,1482.3333333333333,8.52896323288233
Belarus,Minsk,Barysaw,"136,409",BY,273,561,576,48,,54.2240665,28.5117849,74.66666666666667,122.40666666666668,8.325547445255474,18.61014492753623,8.089855072463768,-2.1118081180811807,8.527106227106227,9.7,-11.7,Overcast,7.333333333333333,1683.6666666666667,8.36477200697007
Belarus,Brest,Brest,"342,461",BY,203,528,475,42,,52.093751,23.6851851,50.666666666666664,63.98,10.093521897810218,19.8963768115942,9.709420289855073,0.5955719557195571,9.999633699633698,15.7,-8.5,Overcast,8.0,1429.0,8.664109143091428
Belarus,Gomel,Gomel,"501,802",BY,188,475,441,61,,52.4238936,31.0131698,66.0,102.85333333333331,9.086131386861313,19.611231884057972,9.050362318840579,-1.7413284132841327,9.229670329670329,11.1,-8.7,Overcast,13.0,1524.6666666666667,8.626254520295202
Belarus,Grodno,Grodno,"358,717",BY,82,349,561,46,,53.6834599,23.8342648,58.0,64.00333333333333,9.538503649635038,19.21014492753623,9.053260869565218,0.12398523985239852,9.596703296703296,14.7,-8.5,Overcast,6.0,1432.0,8.448241512915128
Belarus,City of Minsk,Minsk,"1,995,471",BY,356,735,549,69,,53.9024716,27.5618225,73.0,112.46666666666668,8.393521897810219,18.758695652173913,8.123913043478261,-1.996309963099631,8.5007326007326,10.6,-12.4,Overcast,6.666666666666667,1588.6666666666667,8.417271750717507
Belarus,Mogilev,Mogilev,"353,338",BY,210,545,568,45,,53.9090245,30.3429838,69.66666666666667,130.83,8.299726277372264,18.96666666666667,8.164492753623188,-2.615867158671587,8.487912087912088,8.4,-10.5,Overcast,7.666666666666667,1635.3333333333333,8.417271750717507
Belarus,Brest,Pinsk,"124,613",BY,118,426,522,40,,52.1113862,26.1025274,54.666666666666664,74.59666666666668,9.64771897810219,19.495289855072468,9.390942028985506,-0.15608856088560885,9.683516483516483,14.0,-9.1,Overcast,9.333333333333334,1397.6666666666667,8.664109143091428
Belarus,Vitebsk,Vitebsk,"359,148",BY,109,293,537,47,,55.1930197,30.2070437,86.33333333333333,137.3166666666667,7.898722627737226,18.338768115942027,7.714492753623188,-2.7981549815498155,8.148717948717948,10.0,-12.5,Overcast,7.0,1845.3333333333333,8.21152918204182
Bulgaria,Burgas,Burgas,"194,993",BG,398,848,1029,73,,42.4936616,27.4721276,9.666666666666666,14.280000000000001,14.83184306569343,24.840217391304346,12.594202898550725,6.026937269372693,15.716117216117215,21.4,-1.8,Overcast,27.666666666666668,925.3333333333334,9.696151650266502
Bulgaria,Pleven,Pleven,"110,843",BG,264,667,966,67,,43.4809895,24.6060665,15.666666666666666,40.74,13.763138686131386,24.94710144927536,12.376086956521739,3.524723247232472,14.021978021978024,21.2,-3.5,Overcast,32.0,903.6666666666666,9.608887976629768
Bulgaria,Plovdiv,Plovdiv,"321,824",BG,372,836,1092,71,,42.1418541,24.7499297,9.333333333333334,21.956666666666667,15.437317518248175,26.81268115942029,13.579710144927537,5.479335793357934,15.700000000000001,21.0,-2.3,Overcast,35.666666666666664,851.0,9.726573144731448
Bulgaria,Ruse,Ruse,"139,226",BG,343,777,991,67,,43.8480413,25.9542057,16.333333333333332,32.199999999999996,14.558394160583942,25.831521739130434,13.11123188405797,4.2557195571955715,14.851648351648352,22.3,-1.6,Overcast,29.333333333333332,928.3333333333334,9.576944290692905
Bulgaria,Sliven,Sliven,"111,392",BG,214,591,1380,57,,42.64169,26.2634283,12.333333333333334,25.176666666666673,14.376642335766425,25.065942028985507,12.493840579710145,4.991881918819189,14.78937728937729,20.9,-1.4,Overcast,24.333333333333332,981.6666666666666,9.683875912259122
Bulgaria,Sofia City,Sofia,"1,280,334",BG,629,1244,1061,78,,42.6977028,23.3217359,23.333333333333332,36.026666666666664,12.383120437956206,23.1,10.910144927536233,2.726937269372694,12.623076923076923,19.6,-5.6,Overcast,28.333333333333332,1007.6666666666666,9.677714452644526
Bulgaria,Stara Zagora,Stara Zagora,"142,746",BG,291,703,1228,70,,42.4248111,25.6257479,11.0,22.51666666666667,14.157664233576641,25.219565217391306,12.453985507246378,4.287084870848708,14.494871794871793,20.3,-3.7,Overcast,27.666666666666668,909.3333333333334,9.702266635916356
Bulgaria,Varna,Varna,"319,900",BG,479,1039,1123,76,,43.2073873,27.9166653,11.0,18.596666666666668,14.453649635036495,24.176811594202896,12.219565217391306,5.897047970479704,15.376190476190478,20.3,-1.0,Overcast,24.0,945.6666666666666,9.634142261172611
Albania,Tirana,Tirana,"418,495",AL,630,1294,803,72,,41.3281482,19.8184435,0.3333333333333333,0.023333333333333334,16.861861313868612,26.136594202898554,14.835144927536232,8.906273062730628,17.43150183150183,23.7,-1.8,Overcast,53.666666666666664,1126.3333333333333,9.798911961869623
Albania,Durrës,Durrës,"113,249",AL,418,945,824,57,,41.313255,19.4462348,0.6666666666666666,0.21,17.353467153284672,25.851086956521737,15.260144927536233,9.920295202952028,18.25750915750916,22.7,2.4,Overcast,51.333333333333336,1210.0,9.798911961869623
France,Provence-Alpes-Côte d'Azur,Aix-en-Provence,"147,478",FR,966,1700,2167,84,PAC,43.5298424,5.4474738,1.3333333333333333,2.6599999999999997,14.930109489051096,24.105434782608697,13.341304347826087,6.888560885608856,15.242857142857144,18.3,-2.3,Overcast,31.0,850.3333333333334,9.603443921689216
France,Hauts-de-France,Amiens,"133,625",FR,614,1300,3716,73,HDF,49.8941708,2.2956951,10.0,10.850000000000001,12.025912408759126,18.67355072463768,10.93514492753623,5.511439114391144,12.874725274725275,17.0,-1.5,Overcast,6.333333333333333,1606.6666666666667,8.949709358343584
France,Pays de la Loire,Angers,"157,175",FR,974,1715,3044,83,PDL,47.4739884,-0.5515588,3.3333333333333335,4.503333333333333,13.248266423357665,20.257608695652173,12.038405797101449,6.646125461254612,13.938827838827839,18.1,-0.5,Overcast,11.0,1465.3333333333333,9.217982144321441
France,Auvergne-Rhône-Alpes,Annecy,"131,715",FR,919,1727,2409,82,ARA,45.8992348,6.1288847,21.0,34.44,11.741423357664234,21.131521739130438,10.335869565217392,3.525461254612546,11.824908424908424,15.5,-3.0,Overcast,9.0,1615.3333333333333,9.383835547355472
France,Île-de-France,Argenteuil,"107,221",FR,1175,1942,3285,79,IDF,48.9479069,2.2481797,8.0,8.75,12.64653284671533,19.934782608695652,11.64927536231884,5.715129151291514,13.167032967032968,17.1,-3.8,Overcast,7.666666666666667,1612.6666666666667,9.055847734727347
France,Bourgogne-Franche-Comté,Besançon,"119,198",FR,563,1257,2245,82,BFC,47.2380222,6.0243622,16.333333333333332,19.833333333333332,12.29698905109489,20.54855072463768,11.227173913043478,4.638007380073801,12.639194139194139,17.8,-6.5,Overcast,13.333333333333334,2061.0,9.247661193111929
France,Nouvelle-Aquitaine,Bordeaux,"261,804",FR,845,1680,2701,86,NAQ,44.841225,-0.5800364,3.0,1.4233333333333336,14.564507299270074,21.747826086956522,13.423913043478262,7.715129151291514,15.254578754578755,20.1,-0.6,Overcast,15.666666666666666,1595.0,9.486144331693318
France,Île-de-France,Boulogne-Billancourt,"119,808",FR,1498,2281,3577,93,IDF,48.8356649,2.240206,8.333333333333334,9.1,12.854470802919709,20.25,11.821014492753624,5.883025830258302,13.342857142857142,17.0,-2.2,Overcast,10.333333333333334,1555.3333333333333,9.071768870438707
France,Brittany,Brest,"139,619",FR,513,1202,2533,81,BRE,48.3905283,-4.4860088,7.666666666666667,2.59,12.648631386861313,17.15,11.366666666666665,8.22619926199262,13.783882783882785,16.0,1.3,Light Drizzle,5.666666666666667,2442.6666666666665,9.11890962484625
France,Normandy,Caen,"108,200",FR,727,1405,2597,68,NOR,49.1813403,-0.3635615,9.0,13.276666666666669,12.388959854014598,18.25144927536232,11.198550724637682,6.538745387453875,13.472893772893775,18.1,0.3,Overcast,8.0,1626.6666666666667,9.031766041410412
France,Auvergne-Rhône-Alpes,Clermont-Ferrand,"147,327",FR,734,1472,2649,80,ARA,45.7774551,3.0819427,20.333333333333332,20.276666666666667,12.69425182481752,20.60072463768116,11.316304347826087,5.335055350553506,13.3992673992674,18.9,-1.0,Overcast,14.0,1616.6666666666667,9.390792978679785
France,Bourgogne-Franche-Comté,Dijon,"159,346",FR,719,1483,2282,81,BFC,47.3215806,5.0414701,11.0,11.643333333333336,12.288594890510948,20.6036231884058,11.205434782608695,4.599261992619926,12.61025641025641,15.1,-3.6,Overcast,9.333333333333334,1524.6666666666667,9.232867435424355
France,Auvergne-Rhône-Alpes,Grenoble,"157,477",FR,771,1525,2798,86,ARA,45.1875602,5.7357819,34.666666666666664,77.32666666666667,14.04133211678832,22.87355072463768,12.73876811594203,6.047601476014761,14.364102564102565,20.7,-0.9,Overcast,11.0,1866.6666666666667,9.452522662976632
France,Normandy,Le Havre,"166,058",FR,571,1256,2138,68,NOR,49.4938975,0.1079732,12.333333333333334,15.563333333333334,12.555291970802918,18.170652173913044,11.307246376811595,6.82730627306273,13.826007326007327,18.0,0.9,Overcast,7.666666666666667,2167.6666666666665,8.99108753587536
France,Hauts-de-France,Lille,"236,710",FR,837,1651,3036,85,HDF,50.6365654,3.0635282,10.0,14.490000000000002,11.830018248175183,18.591304347826085,10.765217391304347,5.22140221402214,12.631135531135532,17.2,-0.3,Overcast,5.666666666666667,1662.6666666666667,8.856097755227553
France,Nouvelle-Aquitaine,Limoges,"129,760",FR,541,1250,2290,78,NAQ,45.8354243,1.2644847,8.666666666666666,10.429999999999998,12.811952554744526,20.428623188405798,11.46340579710145,5.7988929889298895,13.436630036630035,19.8,-3.0,Overcast,20.333333333333332,2083.6666666666665,9.383835547355472
France,Auvergne-Rhône-Alpes,Lyon,"522,250",FR,831,1693,3043,91,ARA,45.7578137,4.8320114,9.0,5.623333333333334,13.704288321167885,22.882971014492753,12.470652173913043,5.365682656826569,13.94945054945055,17.1,-3.0,Overcast,12.333333333333334,1278.0,9.39773086305863
France,Pays de la Loire,Le Mans,"145,004",FR,588,1344,2913,68,PDL,48.0073849,0.1967849,5.333333333333333,6.2299999999999995,12.690145985401461,19.84927536231884,11.555797101449276,5.93690036900369,13.302930402930402,18.1,-3.1,Overcast,9.0,1513.6666666666667,9.165143696186963
France,Provence-Alpes-Côte d'Azur,Marseille,"873,076",FR,756,1733,2408,87,PAC,43.2961743,5.3699525,1.3333333333333333,1.1900000000000002,16.6375,24.49927536231884,14.837681159420292,9.748339483394835,17.347619047619045,17.9,1.9,Overcast,36.0,810.3333333333334,9.628754827798279
France,Grand Est,Metz,"120,874",FR,743,1526,2922,81,GES,49.1196964,6.1763552,17.333333333333332,13.276666666666666,11.769525547445257,19.755797101449275,10.799637681159421,4.274538745387455,12.116117216117216,15.9,-3.4,Overcast,9.333333333333334,1746.0,9.039820633456335
France,Occitania,Montpellier,"302,454",FR,807,1593,2692,85,OCC,43.6112422,3.8767337,2.0,0.9333333333333332,15.747171532846716,24.611231884057975,14.166304347826088,7.874538745387454,16.198901098901096,20.8,0.3,Overcast,23.666666666666668,1041.6666666666667,9.597074661746616
France,Île-de-France,Montreuil,"111,455",FR,1152,1957,2975,79,IDF,50.4638918,1.7631125,10.666666666666666,18.666666666666668,11.488777372262774,17.51268115942029,10.384057971014492,5.39040590405904,12.569230769230767,16.6,-1.5,Overcast,7.666666666666667,2211.6666666666665,8.881990590405904
France,Grand Est,Mulhouse,"106,341",FR,624,1400,2232,83,GES,47.7467233,7.3389937,16.0,23.403333333333336,12.138686131386862,20.840942028985506,11.254710144927538,4.1225092250922515,12.191941391941393,18.9,-5.9,Overcast,9.666666666666666,1607.3333333333333,9.187930822058217
France,Grand Est,Nancy,"104,260",FR,684,1478,2473,79,GES,48.6937223,6.1834097,19.0,17.756666666666668,11.912408759124087,19.990579710144928,10.935144927536232,4.333210332103321,12.257142857142858,16.2,-3.5,Overcast,10.0,1790.0,9.08758560885609
France,Pays de la Loire,Nantes,"323,204",FR,778,1574,2454,83,PDL,47.2186371,-1.5541362,2.3333333333333335,0.8866666666666664,13.387864963503652,19.816304347826087,12.20217391304348,7.192988929889299,14.236996336996336,17.7,-0.7,Overcast,12.666666666666666,1690.3333333333333,9.247661193111929
France,Provence-Alpes-Côte d'Azur,Nice,"348,085",FR,992,1884,2400,83,PAC,43.7009358,7.2683912,1.6666666666666667,0.56,16.540602189781023,24.63840579710145,14.645652173913046,9.44760147601476,17.31062271062271,20.5,4.0,Overcast,22.666666666666668,851.0,9.590688161131613
France,Occitania,Nîmes,"148,104",FR,651,1340,2387,85,OCC,43.8374249,4.3600687,3.0,2.4266666666666667,15.97317518248175,25.047826086956526,14.355072463768115,8.071955719557195,16.278021978021975,20.0,-0.6,Overcast,24.666666666666668,981.0,9.577865231652316
France,Centre-Val de Loire,Orléans,"116,617",FR,649,1335,3342,83,CVL,47.9027336,1.9086066,5.666666666666667,5.0633333333333335,12.531386861313868,19.9768115942029,11.420652173913043,5.577490774907749,13.03003663003663,18.7,-4.2,Overcast,10.666666666666666,1604.3333333333333,9.172763099630997
France,Île-de-France,Paris,"2,133,111",FR,1497,2517,3732,97,IDF,48.8534951,2.3483915,8.333333333333334,9.1,12.829014598540144,20.22753623188406,11.794927536231885,5.856457564575646,13.316117216117217,17.0,-2.2,Overcast,10.333333333333334,1555.3333333333333,9.071768870438707
France,Occitania,Perpignan,"119,656",FR,657,1374,2124,76,OCC,42.6985304,2.8953121,1.0,0.2333333333333333,16.763321167883213,25.032971014492755,15.13659420289855,9.401476014760147,17.355311355311354,22.2,0.9,Overcast,19.666666666666668,603.0,9.678597365723657
France,Grand Est,Reims,"179,380",FR,715,1486,2194,79,GES,49.2577886,4.031926,9.666666666666666,8.353333333333333,12.09616788321168,19.350724637681157,11.156159420289855,5.06531365313653,12.691575091575093,16.3,-2.4,Overcast,9.333333333333334,1593.0,9.023685844608446
France,Brittany,Rennes,"225,081",FR,694,1469,2779,85,BRE,48.1113387,-1.6800198,6.0,4.2700000000000005,12.68102189781022,18.96014492753623,11.61231884057971,6.555719557195571,13.493772893772894,17.4,-1.5,Overcast,9.0,1666.0,9.149831139811397
France,Normandy,Rouen,"114,083",FR,623,1279,2676,85,NOR,49.4404591,1.0939658,8.666666666666666,11.246666666666668,12.208667883211678,18.683695652173913,11.216666666666667,5.808856088560886,13.018315018315018,17.5,-2.4,Overcast,6.666666666666667,1842.3333333333333,8.999278454284543
France,Île-de-France,Saint-Denis,"113,942",FR,1156,1932,3223,78,IDF,48.935773,2.3580232,8.0,8.75,12.667700729927006,19.95507246376812,11.671014492753622,5.7365313653136525,13.188278388278388,17.1,-3.8,Overcast,7.666666666666667,1612.6666666666667,9.055847734727347
France,Auvergne-Rhône-Alpes,Saint-Étienne,"172,718",FR,560,1239,2330,86,ARA,45.4401467,4.3873058,24.0,33.553333333333335,11.903740875912408,20.481884057971016,10.230434782608695,4.1996309963099625,12.570695970695972,16.7,-3.9,Overcast,13.666666666666666,1564.6666666666667,9.425282134071342
France,Grand Est,Strasbourg,"291,313",FR,800,1620,2781,83,GES,48.584614,7.7507127,18.0,14.070000000000002,12.024361313868614,20.521376811594205,11.297463768115941,4.001476014760148,12.132967032967034,17.5,-3.3,Overcast,9.666666666666666,1672.6666666666667,9.09545486879869
France,Provence-Alpes-Côte d'Azur,Toulon,"180,452",FR,734,1478,2210,82,PAC,43.1257311,5.9304919,0.3333333333333333,0.16333333333333333,16.80912408759124,25.247101449275366,14.769202898550725,9.812546125461253,17.286080586080587,21.1,2.8,Overcast,39.666666666666664,948.0,9.641312074620744
France,Occitania,Toulouse,"504,078",FR,812,1657,2886,90,OCC,43.6044638,1.4442433,6.666666666666667,2.94,14.671806569343065,22.878260869565217,13.112681159420289,7.086715867158672,15.480952380952377,19.0,-2.0,Overcast,15.666666666666666,1366.0,9.597074661746616
France,Centre-Val de Loire,Tours,"137,658",FR,558,1286,2459,67,CVL,47.3900474,0.6889268,3.6666666666666665,2.9166666666666665,13.163321167883211,20.644927536231883,11.950724637681162,6.27380073800738,13.664468864468864,19.0,-1.3,Overcast,12.666666666666666,1513.0,9.225435967609677
France,Auvergne-Rhône-Alpes,Villeurbanne,"156,928",FR,830,1638,3015,76,ARA,45.7733573,4.8868454,9.666666666666666,5.740000000000001,13.558485401459855,22.697826086956525,12.368115942028988,5.214760147601476,13.804761904761904,17.0,-1.5,Overcast,11.0,1320.0,9.390792978679785
Denmark,Capital,Copenhagen,"659,350",DK,1451,2601,4591,98,,55.6867243,12.5700724,31.333333333333332,29.75,9.738959854014599,16.985144927536233,8.493478260869566,2.5915129151291514,10.767399267399268,12.4,-7.1,Overcast,7.666666666666667,1529.3333333333333,8.13415377203772
Denmark,Central,Aarhus,"343,533",DK,1137,2088,4171,91,,56.1496278,10.2134046,32.0,39.900000000000006,9.734945255474452,16.45072463768116,8.530797101449275,3.093357933579336,10.755677655677655,11.5,-6.8,Overcast,7.333333333333333,1716.6666666666667,8.063222591225912
Denmark,North Jutland,Aalborg,"204,901",DK,898,1866,3522,86,,57.0462626,9.9215263,35.0,47.94999999999999,9.463412408759124,16.31195652173913,8.345289855072464,2.665682656826568,10.417948717948718,10.7,-7.0,Overcast,5.0,1809.0,7.902250225502255
Denmark,Southern,Odense,"199,682",DK,851,1805,3673,91,,55.3997225,10.3852104,28.333333333333332,28.700000000000003,9.90155109489051,16.684057971014493,8.614855072463767,3.249446494464945,10.948717948717949,12.2,-6.3,Overcast,6.666666666666667,1594.0,8.18033991389914
Denmark,Southern,Esbjerg,"105,229",DK,786,1657,5204,89,,55.4664892,8.4520751,27.666666666666668,34.51,9.900456204379562,16.215942028985506,8.5518115942029,3.699630996309963,11.034432234432236,10.4,-7.4,Overcast,4.666666666666667,2146.6666666666665,8.168873021730217
Denmark,Capital,Frederiksberg,"104,899",DK,1622,2617,5094,82,,55.678016,12.5326186,31.333333333333332,29.75,9.726094890510948,16.971376811594205,8.480434782608697,2.5797047970479707,10.754578754578755,12.4,-7.1,Overcast,7.666666666666667,1529.3333333333333,8.13415377203772
Finland,Uusimaa,Helsinki,"674,963",FI,972,1947,3432,96,,60.1698897,24.9384719,88.33333333333333,138.25000000000003,6.897080291970803,15.998913043478261,3.896014492753623,-1.5132841328413282,9.07802197802198,6.6,-9.0,Overcast,6.666666666666667,1724.6666666666667,7.2637788437884385
Finland,Uusimaa,Espoo,"314,152",FI,943,1937,3781,96,,60.2049651,24.6559808,84.0,163.91666666666666,6.959397810218978,17.116666666666667,5.228985507246377,-2.7099630996309965,8.038461538461538,7.0,-11.1,Overcast,7.333333333333333,1786.0,7.247276588765889
Finland,Pirkanmaa,Tampere,"255,066",FI,673,1422,3443,73,,61.4977929,23.7616372,90.0,144.36333333333332,6.225638686131386,16.867753623188406,4.640942028985507,-3.7682656826568266,6.989377289377289,6.7,-13.3,Overcast,5.0,1729.3333333333333,6.930422314473145
Finland,Uusimaa,Vantaa,"247,447",FI,974,1881,2469,79,,60.292997,25.0435254,86.33333333333333,164.22,6.74662408759124,17.057608695652174,5.13768115942029,-3.138007380073801,7.76117216117216,6.9,-11.2,Overcast,8.0,1777.6666666666667,7.230667240672407
Finland,North Ostrobothnia,Oulu,"214,651",FI,723,1660,2722,83,,65.0117869,25.4701983,98.66666666666667,130.3166666666667,4.175729927007299,16.039492753623186,1.5282608695652173,-6.135055350553504,5.093406593406593,6.2,-16.5,Overcast,6.0,1608.0,5.758381109061091
Finland,Southwest Finland,Turku,"201,889",FI,706,1545,3069,87,,60.4515944,22.2669983,72.0,109.80666666666667,6.958120437956205,16.935144927536232,5.355434782608696,-2.4638376383763836,7.844688644688644,7.2,-11.5,Overcast,7.333333333333333,1674.3333333333333,7.197119557195572
Finland,Central Finland,Jyväskylä,"147,821",FI,681,1500,3236,85,,62.241672,25.7495806,99.0,160.88333333333335,5.44625912408759,16.771014492753626,3.7590579710144927,-5.030258302583026,6.102564102564102,6.7,-14.9,Overcast,4.333333333333333,1765.6666666666667,6.715487228372283
Finland,Northern Savonia,Kuopio,"124,011",FI,732,1524,2679,67,,62.8924641,27.6783597,103.0,158.83,5.235401459854014,17.065579710144927,3.152173913043478,-5.576752767527676,6.114285714285714,5.5,-16.4,Overcast,5.333333333333333,1827.0,6.525042045920459
Finland,Päijänne Tavastia,Lahti,"120,693",FI,781,1618,2667,84,,60.9826257,25.66137,90.66666666666667,146.90666666666667,5.994799270072994,16.817028985507246,4.685869565217391,-4.373431734317342,6.6692307692307695,6.4,-13.4,Overcast,4.0,1719.3333333333333,7.058347181221811
Croatia,Grad Zagreb,Zagreb,"768,624",HR,754,1437,1950,80,,45.8130967,15.9772795,18.666666666666668,29.28333333333333,13.177281021897809,23.02753623188406,12.359420289855072,3.957933579335793,13.197435897435897,17.3,-2.4,Overcast,13.0,1266.3333333333333,9.390792978679785
Croatia,Split-Dalmatia,Split,"159,008",HR,909,1623,1570,71,,43.5116383,16.4399659,3.0,3.5700000000000003,16.669160583941608,25.60144927536232,14.693840579710145,9.017712177121773,17.231135531135532,20.3,1.2,Overcast,37.0,1298.6666666666667,9.609796935219352
Croatia,Primorje-Gorski Kotar,Rijeka,"106,579",HR,683,1316,1500,73,,45.3267976,14.442208,21.666666666666668,72.96333333333334,15.049270072992702,24.272826086956524,13.517753623188405,7.068265682656827,15.195238095238093,18.9,-1.9,Overcast,13.0,2239.6666666666665,9.438940908159081
Estonia,Harju,Tallinn,"437,817",EE,807,1601,1941,87,,59.4372419,24.7572802,82.33333333333333,136.59333333333333,7.477372262773724,17.03985507246377,6.131521739130434,-1.8830258302583025,8.462271062271062,7.2,-14.0,Overcast,7.333333333333333,1864.3333333333333,7.423190826158261
Germany,North Rhine-Westphalia,Aachen,"245,900",DE,872,1668,3384,90,NW,50.776351,6.083862,24.666666666666668,36.42333333333333,11.439781021897808,18.59963768115942,10.509420289855072,4.333579335793358,12.195970695970695,16.5,-2.3,Overcast,9.0,2065.6666666666665,8.838680606806069
Germany,Bavaria,Augsburg,"286,400",DE,1093,1954,3718,90,BY,48.3690341,10.8979522,30.333333333333332,39.99333333333333,10.499726277372263,19.16231884057971,9.785507246376813,2.4132841328413286,10.491208791208793,16.9,-3.9,Overcast,11.666666666666666,1745.0,9.11890962484625
